City_ID,City,Lat,Lng,Max Temp,Humidity,Pressure,Cloudiness,Wind Speed,Country,Date
117,marietta,33.9526,-84.5499,91.08,53.0,1018.0,75.0,9.22,US,1718665893.0
118,haiku-pauwela,20.9219,-156.3051,85.23,67.0,1016.0,40.0,24.16,US,1718666328.0
119,la cruz,23.9167,-106.9,83.82,66.0,1005.0,16.0,8.68,MX,1718666329.0
120,delanggu,-7.6167,110.6833,73.72,90.0,1012.0,6.0,2.39,ID,1718666330.0
121,luderitz,-26.6481,15.1594,56.26,85.0,1019.0,0.0,3.22,,1718666331.0
122,vadso,70.0744,29.7487,50.88,93.0,1017.0,40.0,16.11,NO,1718665919.0
123,kuanda,56.3161,116.0806,49.59,87.0,1007.0,93.0,4.25,RU,1718666334.0
124,hadibu,12.65,54.0333,81.99,78.0,1006.0,100.0,14.27,YE,1718666335.0
125,ust-nera,64.5667,143.2,67.57,43.0,1007.0,43.0,3.49,RU,1718666336.0
126,notodden,59.5594,9.2585,54.0,89.0,1005.0,60.0,3.31,NO,1718666337.0
127,saipan,15.1355,145.701,88.5,66.0,1013.0,40.0,13.8,MP,1718666338.0
128,hermanus,-34.4187,19.2345,56.8,81.0,1012.0,4.0,8.12,ZA,1718666339.0
129,hamilton,39.1834,-84.5333,93.9,53.0,1015.0,0.0,10.36,US,1718665957.0
130,tiksi,71.6872,128.8694,44.78,75.0,1007.0,20.0,10.04,RU,1718666341.0
131,olinda,-8.0089,-34.8553,78.53,69.0,1014.0,40.0,6.91,BR,1718666343.0
132,zhaoyuan,37.3592,120.3964,80.04,40.0,1006.0,18.0,7.85,CN,1718666344.0
133,khandyga,62.6667,135.6,63.86,47.0,1009.0,57.0,4.25,RU,1718666345.0
134,margaret river,-33.95,115.0667,60.17,76.0,1019.0,64.0,17.18,AU,1718666346.0
135,houlton,46.1262,-67.8403,67.6,71.0,1018.0,100.0,6.91,US,1718666294.0
136,urucui,-7.2294,-44.5561,82.74,41.0,1011.0,33.0,3.29,BR,1718666348.0
137,new norfolk,-42.7826,147.0587,44.92,86.0,1022.0,68.0,1.72,AU,1718666350.0
138,kapuskasing,49.4169,-82.4331,78.89,44.0,1008.0,100.0,5.75,CA,1718666351.0
139,atamyrat,37.8357,65.2106,83.61,27.0,1006.0,0.0,10.31,TM,1718666352.0
140,san antonio de pale,-1.4014,5.6325,76.37,82.0,1013.0,90.0,13.85,GQ,1718666289.0
141,uzda,53.4627,27.2137,57.72,97.0,1013.0,4.0,7.09,BY,1718666354.0
142,port elizabeth,-33.918,25.5701,64.31,65.0,1014.0,0.0,10.36,ZA,1718666355.0
143,selfoss,63.9331,-20.9971,49.05,82.0,1020.0,99.0,6.64,IS,1718666356.0
144,igarka,67.4667,86.5833,43.77,69.0,1007.0,100.0,4.72,RU,1718666357.0
145,jaumave,23.4167,-99.3833,96.13,28.0,1005.0,0.0,13.44,MX,1718666359.0
146,kolonia town,6.964,158.206,86.0,79.0,1012.0,100.0,11.5,FM,1718666360.0
147,kita,13.0349,-9.4895,78.35,81.0,1012.0,98.0,6.49,ML,1718666361.0
148,iskateley,67.6803,53.1512,37.67,69.0,1025.0,6.0,4.68,RU,1718666362.0
149,sur,22.5667,59.5289,92.46,47.0,999.0,7.0,8.81,OM,1718666363.0
150,happy valley-goose bay,53.3168,-60.3315,66.51,55.0,1009.0,100.0,14.97,CA,1718666364.0
151,sandila,27.0833,80.5167,96.73,37.0,996.0,33.0,15.3,IN,1718666365.0
152,fort irwin,35.2627,-116.6848,93.02,12.0,1000.0,0.0,20.71,US,1718666366.0
153,mata-utu,-13.2816,-176.1745,82.87,80.0,1013.0,17.0,16.06,WF,1718666368.0
154,oriximina,-1.7656,-55.8661,80.2,74.0,1009.0,84.0,3.47,BR,1718666369.0
155,toulepleu guere,6.574,-8.4259,72.16,98.0,1014.0,100.0,3.89,CI,1718666370.0
156,port antonio,18.18,-76.4612,85.91,80.0,1011.0,100.0,9.64,JM,1718666371.0
157,weener,53.1667,7.35,53.96,94.0,1012.0,64.0,2.82,DE,1718666372.0
158,muzayri',,,,,,,,,
159,ipoti,7.8738,5.0769,70.11,90.0,1013.0,41.0,3.04,NG,1718666375.0
160,antofagasta,-23.65,-70.4,60.08,91.0,1016.0,37.0,10.54,CL,1718666376.0
161,carnarvon,-24.8667,113.6333,65.43,75.0,1019.0,0.0,21.23,AU,1718666377.0
162,ancud,-41.8697,-73.8203,48.02,81.0,1002.0,41.0,13.98,CL,1718666246.0
163,igrim,63.1906,64.4162,45.82,85.0,1020.0,3.0,4.56,RU,1718666379.0
164,kodiak,57.79,-152.4072,62.11,51.0,1018.0,0.0,4.61,US,1718666380.0
165,calliope,-24.0,151.2,59.7,44.0,1019.0,0.0,5.75,AU,1718666381.0
166,puerto madryn,-42.7692,-65.0385,55.24,42.0,997.0,100.0,23.78,AR,1718666209.0
167,st. john's,47.5649,-52.7093,58.39,67.0,1021.0,20.0,6.91,CA,1718666384.0
168,port alfred,-33.5906,26.891,70.65,41.0,1009.0,85.0,20.27,ZA,1718665970.0
169,anadyr,64.75,177.4833,52.3,62.0,1017.0,0.0,11.18,RU,1718666386.0
170,hithadhoo,-0.6,73.0833,82.08,76.0,1009.0,75.0,7.52,MV,1718665967.0
171,tocache,-8.1842,-76.5125,77.97,76.0,1009.0,42.0,1.9,PE,1718666388.0
172,mao,39.8885,4.2658,72.16,94.0,1014.0,0.0,9.22,ES,1718666389.0
173,gorno-altaysk,51.9561,85.955,60.76,96.0,1005.0,95.0,6.26,RU,1718666390.0
174,myrina,39.8797,25.0742,70.84,68.0,1014.0,0.0,4.61,GR,1718666391.0
175,tazovsky,67.4667,78.7,36.75,96.0,1010.0,99.0,14.14,RU,1718666393.0
176,messini,37.0511,22.0078,78.19,60.0,1014.0,30.0,3.44,GR,1718666394.0
177,mount gambier,-37.8333,140.7667,39.99,86.0,1021.0,0.0,3.87,AU,1718666395.0
178,casablanca,33.5928,-7.6192,68.22,81.0,1016.0,1.0,4.94,MA,1718666177.0
179,pustoshka,56.3355,29.369,58.78,99.0,1009.0,100.0,8.3,RU,1718666397.0
180,sola,-13.8833,167.55,80.15,79.0,1013.0,16.0,1.97,VU,1718666398.0
181,praia da vitoria,38.7333,-27.0667,66.76,72.0,1025.0,75.0,14.99,PT,1718666250.0
182,shimokizukuri,40.8061,140.3861,79.52,46.0,1004.0,100.0,8.63,JP,1718666400.0
183,usta muhammad,28.1794,68.0445,92.71,49.0,996.0,0.0,12.03,PK,1718666402.0
184,bengkulu,-3.8004,102.2655,75.81,91.0,1011.0,94.0,4.38,ID,1718666403.0
185,kansk,56.2017,95.7175,56.28,93.0,1002.0,100.0,5.57,RU,1718666405.0
186,troy,42.6056,-83.1499,94.93,57.0,1014.0,0.0,4.61,US,1718666406.0
187,wajir,1.7471,40.0573,76.8,60.0,1013.0,73.0,15.84,KE,1718666407.0
188,fort bragg,35.139,-79.006,89.91,51.0,1019.0,0.0,5.75,US,1718666408.0
189,ulladulla,-35.35,150.4667,51.15,64.0,1018.0,3.0,5.99,AU,1718666409.0
190,ayr,55.4627,-4.6339,53.58,82.0,1014.0,40.0,13.8,GB,1718666410.0
191,kondrovo,54.8064,35.9278,66.69,97.0,1005.0,45.0,4.76,RU,1718666411.0
192,lawas,13.764,121.0566,82.04,81.0,1009.0,94.0,2.17,PH,1718666412.0
193,pathein,16.7833,94.7333,78.71,92.0,1006.0,100.0,4.43,MM,1718666187.0
194,dahab,28.501,34.5134,90.75,34.0,1006.0,0.0,12.33,EG,1718666415.0
195,fale old settlement,-9.3852,-171.2468,84.56,75.0,1011.0,13.0,18.68,TK,1718665968.0
196,levski,43.3667,25.1333,71.2,72.0,1016.0,0.0,3.98,BG,1718666417.0
197,margate,51.3813,1.3862,57.69,76.0,1014.0,100.0,1.01,GB,1718666391.0
198,atafu village,-8.5421,-172.5159,84.81,74.0,1011.0,10.0,17.96,TK,1718665935.0
199,seogwipo,,,,,,,,,
200,palikir - national government center,6.9248,158.1611,84.94,79.0,1012.0,100.0,11.5,FM,1718666421.0
201,san patricio,28.017,-97.5169,92.12,59.0,1007.0,39.0,20.65,US,1718666422.0
202,ishigaki,24.3448,124.1572,82.53,100.0,1008.0,75.0,9.22,JP,1718666424.0
203,tsiombe,-25.3,45.4833,63.84,75.0,1021.0,0.0,8.52,MG,1718666425.0
204,plock,52.5468,19.7064,59.23,95.0,1015.0,73.0,5.48,PL,1718666426.0
205,beira,-19.8436,34.8389,64.49,94.0,1019.0,0.0,2.3,MZ,1718666427.0
206,alofi,-19.0595,-169.9187,82.29,74.0,1015.0,75.0,10.36,NU,1718666428.0
207,zhangye,38.9342,100.4517,68.23,47.0,1005.0,26.0,6.46,CN,1718666391.0
208,aykol,,,,,,,,,
209,colonia,50.9333,6.95,62.58,90.0,1017.0,0.0,1.14,DE,1718666432.0
210,mana,5.6592,-53.7767,78.46,87.0,1011.0,9.0,7.45,GF,1718666433.0
211,gadani,25.1185,66.7299,86.22,82.0,1001.0,61.0,13.56,PK,1718666434.0
212,mournies,35.4764,24.0092,96.87,88.0,1013.0,0.0,5.75,GR,1718666435.0
213,nishinoomote,30.7333,131.0,75.51,86.0,1004.0,100.0,23.64,JP,1718666436.0
214,howrah,22.5892,88.3103,86.0,94.0,1000.0,75.0,13.8,IN,1718666437.0
215,mukhorshibir',,,,,,,,,
216,gillette,44.2911,-105.5022,63.52,68.0,998.0,75.0,14.97,US,1718666440.0
217,badr hunayn,23.7829,38.7905,94.62,26.0,1001.0,21.0,1.72,SA,1718666441.0
218,karratha,-20.7377,116.8463,70.16,83.0,1017.0,41.0,4.16,AU,1718666442.0
219,geraldton,-28.7667,114.6,55.81,88.0,1021.0,40.0,6.91,AU,1718666443.0
220,santa maria del oro,25.9333,-105.3667,72.05,51.0,1007.0,21.0,39.48,MX,1718666444.0
221,hotan,37.0997,79.9269,77.67,28.0,1003.0,92.0,14.99,CN,1718666445.0
222,shingu,33.7333,135.9833,68.58,99.0,1004.0,100.0,1.12,JP,1718666446.0
223,shiraz,29.6036,52.5388,74.64,31.0,1015.0,0.0,0.0,IR,1718666448.0
224,klyuchi,52.2667,79.1667,67.95,89.0,1006.0,75.0,7.43,RU,1718666449.0
225,bridgewater,44.3835,-64.5155,64.62,71.0,1022.0,98.0,10.36,CA,1718666450.0
226,barranca,-10.75,-77.7667,63.77,85.0,1012.0,18.0,9.35,PE,1718666440.0
227,barre,44.197,-72.5021,83.05,64.0,1020.0,75.0,4.61,US,1718666452.0
228,dunedin,-45.8742,170.5036,45.81,84.0,1023.0,100.0,10.0,NZ,1718666242.0
229,tobi village,,,,,,,,,
230,utrik,11.2278,169.8474,82.11,80.0,1012.0,89.0,16.84,MH,1718666455.0
231,boa vista,2.8197,-60.6733,84.18,65.0,1009.0,40.0,3.44,BR,1718666457.0
232,lucapa,-8.4192,20.7447,61.47,29.0,1015.0,2.0,4.07,AO,1718666458.0
233,thunder bay,48.4001,-89.3168,69.71,49.0,1011.0,75.0,9.22,CA,1718666313.0
234,hovd,48.0056,91.6419,61.0,54.0,1005.0,12.0,4.47,MN,1718666460.0
235,fuyu,45.1833,124.8167,67.06,56.0,1005.0,26.0,5.32,CN,1718666461.0
236,peniche,39.3558,-9.3811,65.1,97.0,1011.0,100.0,6.87,PT,1718666462.0
237,paradip garh,20.3167,86.6167,84.81,82.0,1001.0,100.0,13.22,IN,1718666463.0
238,mega,4.05,38.3,60.6,68.0,1015.0,93.0,12.19,ET,1718666465.0
239,holualoa,19.6228,-155.9522,78.64,83.0,1020.0,75.0,9.22,US,1718666466.0
240,nuku'alofa,-21.1333,-175.2,79.14,94.0,1017.0,75.0,10.36,TO,1718666467.0
241,port isabel,26.0734,-97.2086,91.49,72.0,1006.0,75.0,19.57,US,1718666468.0
242,touros,-5.1989,-35.4608,75.56,87.0,1014.0,8.0,11.41,BR,1718666469.0
243,mersing,2.4312,103.8405,75.11,94.0,1009.0,20.0,4.61,MY,1718666470.0
244,bamiantong,44.9333,130.5333,60.51,78.0,1005.0,2.0,2.26,CN,1718666471.0
245,santa rita do passa quatro,-21.7103,-47.4781,57.2,38.0,1015.0,31.0,3.6,BR,1718666472.0
246,mulanay,13.5222,122.4042,82.09,83.0,1009.0,73.0,0.98,PH,1718666474.0
247,prince rupert,54.3161,-130.3201,53.69,85.0,1018.0,100.0,13.8,CA,1718666294.0
248,kavaratti,10.5669,72.642,81.88,83.0,1007.0,99.0,7.87,IN,1718666351.0
249,suez,29.9737,32.5263,74.57,71.0,1010.0,0.0,9.51,EG,1718666477.0
250,tura,25.5198,90.2201,76.24,98.0,1001.0,100.0,7.81,IN,1718666478.0
251,mugia,43.1041,-9.2179,62.17,94.0,1009.0,51.0,9.46,ES,1718666479.0
252,lospalos,-8.5186,127.0025,71.24,75.0,1014.0,90.0,6.78,TL,1718666480.0
253,tuma,55.148,40.5537,64.56,97.0,1009.0,14.0,7.52,RU,1718666482.0
254,santa sylvina,-27.8326,-61.1375,65.05,82.0,1008.0,81.0,4.9,AR,1718666483.0
255,arkhangel'sk,64.5401,40.5433,57.31,72.0,1019.0,40.0,6.71,RU,1718666484.0
256,jinchang,38.4953,102.1739,70.43,47.0,1005.0,69.0,4.16,CN,1718666485.0
257,nemuro,43.3236,145.575,56.98,87.0,1006.0,100.0,13.15,JP,1718666486.0
258,alice springs,-23.7,133.8833,62.15,67.0,1019.0,5.0,0.0,AU,1718666357.0
259,menongue,-14.6585,17.691,47.25,40.0,1021.0,9.0,3.33,AO,1718666489.0
260,kampong dungun,3.2167,101.3167,79.09,84.0,1009.0,100.0,4.9,MY,1718666490.0
261,sete lagoas,-19.4658,-44.2467,70.68,50.0,1017.0,0.0,3.65,BR,1718666213.0
262,ta`u,-14.2336,-169.5144,81.48,78.0,1014.0,39.0,22.19,AS,1718666492.0
263,vingt cinq,,,,,,,,,
264,kyzyl,51.7,94.45,65.71,66.0,1004.0,24.0,1.79,RU,1718666494.0
265,polyarnyy,69.1989,33.4478,56.77,79.0,1018.0,99.0,3.44,RU,1718666496.0
266,tapes,-30.6733,-51.3958,61.11,95.0,1012.0,100.0,8.16,BR,1718666497.0
267,ujae,8.9322,165.7642,83.57,77.0,1011.0,24.0,14.97,MH,1718666498.0
268,mount isa,-20.7333,139.5,60.57,51.0,1021.0,4.0,0.0,AU,1718666499.0
269,alva,56.1528,-3.8051,55.42,89.0,1013.0,55.0,3.44,GB,1718666500.0
270,lompoc,34.6391,-120.4579,79.79,62.0,1008.0,0.0,20.71,US,1718666501.0
271,fada,9.5667,8.3,71.28,84.0,1013.0,55.0,1.86,NG,1718666502.0
272,broken hill,-31.95,141.4333,50.59,44.0,1020.0,100.0,5.28,AU,1718666503.0
273,palmer,42.1584,-72.3287,80.51,58.0,1021.0,75.0,17.27,US,1718666505.0
274,mildura,-34.2,142.15,46.74,57.0,1021.0,84.0,2.89,AU,1718666506.0
275,gebeit,21.0667,36.3167,87.37,21.0,1005.0,0.0,3.13,SD,1718666507.0
276,amiens,49.9,2.3,63.59,92.0,1013.0,100.0,3.44,FR,1718666508.0
277,island harbour,50.724,-1.2758,57.22,81.0,1013.0,100.0,3.89,GB,1718666509.0
278,fuvahmulah,,,,,,,,,
279,arnedo,42.2167,-2.1,69.3,46.0,1010.0,100.0,3.02,ES,1718666511.0
280,kananga,-5.8958,22.4178,66.45,46.0,1013.0,2.0,3.02,CD,1718666512.0
281,tosontsengel,48.7567,98.2839,52.93,81.0,1005.0,100.0,2.48,MN,1718666514.0
282,usogorsk,63.4106,48.6872,52.84,77.0,1023.0,9.0,5.08,RU,1718666515.0
283,kidal,18.4411,1.4078,94.06,20.0,1010.0,1.0,4.88,ML,1718666516.0
284,bandon,51.7469,-8.7425,56.79,87.0,1016.0,100.0,11.05,IE,1718666517.0
285,taroa,8.7058,171.2275,82.27,79.0,1011.0,83.0,12.91,MH,1718666518.0
286,rongelap,11.1635,166.8941,83.01,80.0,1012.0,74.0,16.37,MH,1718666519.0
287,ketchikan,55.3422,-131.6461,63.07,67.0,1017.0,40.0,10.36,US,1718666520.0
288,bataipora,-22.2953,-53.2711,76.53,35.0,1009.0,3.0,6.98,BR,1718666521.0
289,heroica zitacuaro,19.4,-100.3667,83.34,24.0,1002.0,3.0,5.64,MX,1718666523.0
290,yangjiang,21.85,111.9667,81.45,90.0,1005.0,100.0,2.59,CN,1718666524.0
291,sumbawa besar,-8.5,117.4333,68.72,77.0,1013.0,0.0,3.85,ID,1718666525.0
